"ID","articulo","marca","especificaciones","precio","pag_url"
1,"botas","CROYDON","Botas Plásticas Workman Safety W.P. Para Hombre Croydon 36 Amarillo",89900,"https://www.exito.com/botas-plasticas-workman-safety-wp-para-hombre-croydon-101571768-mp/p?color=Amarillo"
2,"botas","SAN POLOS","Bota seguridad industrial homb 37 CAFE/NJA",399900,"https://www.exito.com/bota-seguridad-industrial-hom-411509/p?color=CAFE%2FNJA"
3,"botas","SAN POLOS","Bota seguridad industrial homb 37 NEG/AMLLO",409900,"https://www.exito.com/bota-seguridad-industrial-hom-411509/p?color=NEG%2FAMLLO"
4,"botas","BRAHMA","ZAPATO CASUALDINAMICO JOGGER 41 CAFE/NJA",159900,"https://www.exito.com/zapato-brahma-casual-hombre-50417/p?color=CAFE%2FNJA"
5,"botas","SAN POLOS","Bota casual para hombre 37 MIEL",329900,"https://www.exito.com/bota-casual-para-hombre-412097/p?color=Miel"
6,"botas","TELLENZI","Botas Hombre Outdoor Verde Tellenzi 7 184 43 Verde",127900,"https://www.exito.com/botas-hombre-outdoor-verde-tellenzi-7-184-104164742-mp/p?color=Verde"
7,"botas","CROYDON","Botas Titan Negro Para Hombre Y Mujer Croydon 42 Negro-negro",51900,"https://www.exito.com/botas-titan-negro-para-hombre-y-mujer-croydon-102140990-mp/p?color=Negro-negro"
8,"botas","CROYDON","Botas Bigger Café Para Hombre Croydon 38 Café",109800,"https://www.exito.com/botas-bigger-cafe-para-hombre-croydon-102219491-mp/p?color=Caf%C3%A9"
9,"botas","BRAHMA","BOTIN 38 AMARILLO",749900,"https://www.exito.com/brahama-botin-pr2987-ama38-din-874310/p?color=Amarillo"
10,"botas","BRAHMA","Botin Hombre 39 CAFE",769900,"https://www.exito.com/brahma-botin-tf2794-hombre-841939/p?color=Cafe"
11,"botas","BRAHMA","BOTIN TREKKING 41 TAUPE",769900,"https://www.exito.com/brahma-botin-trekking-tf2794-h-717733/p?color=TAUPE"
12,"botas","CROYDON","BOTA EN LONA 39 - BLANCO",119900,"https://www.exito.com/bota-en-lona-709013/p?color=Blanco"
13,"botas","CROYDON","BOTA EN LONA 37 - NEGRO",119900,"https://www.exito.com/bota-en-lona-709013/p?color=Negro"
14,"botas","CROYDON","BOTA 37 NEGRO",53900,"https://www.exito.com/bota-682495/p?color=Negro"
15,"botas","CROYDON","BOTA. 41 NEGRO",59900,"https://www.exito.com/bota-682493/p?color=Negro"
16,"botas","BRAHMA","TREKKING HOMBRE 39 PARDO",559920,"https://www.exito.com/brahma-trekking-hq2380-hombre-610409/p?color=PARDO"
17,"botas","SAN POLOS","Bota hombre 37 NEGRO",319900,"https://www.exito.com/bota-hombre-2295-561036/p?color=Negro"
